metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
browser_data_sent,1723546850,385.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://beta.hasaki.vn//images/graphics/icon_maker_green.svg,,
browser_data_sent,1723546850,378.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723265843home7days205.jpg,,
browser_data_sent,1723546850,369.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1714730690web.jpg,,
browser_data_sent,1723546850,389.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1712203188846x250-banner-home-web.jpg,,
browser_data_sent,1723546850,370.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723538187home.jpg,,
browser_data_sent,1723546850,377.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723544520home-da-mun.jpg,,
browser_data_sent,1723546850,375.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723268124home-2end.png,,
browser_data_sent,1723546850,375.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723268041homecogia.jpg,,
browser_data_sent,1723546850,377.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723518830homelancome.jpg,,
browser_data_sent,1723546850,376.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723518986home5today.jpg,,
browser_data_sent,1723546850,373.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723268595homepng.jpg,,
browser_data_sent,1723546850,378.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1723544448home-closeup.jpg,,
browser_data_sent,1723546850,369.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1711100177web.jpg,,
browser_data_sent,1723546850,383.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1721200384nowfree-3-846x250.jpg,,
browser_data_sent,1723546850,397.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/1653555653banner-check-gia-web-v2-435x128.jpg,,
browser_data_sent,1723546850,384.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hsk-icon-best-seller-v1.png,,
browser_data_sent,1723546850,380.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hsk-icon-nowfree-v2.png,,
browser_data_sent,1723546850,380.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hsk-icon-perfume-v2.png,,
browser_data_sent,1723546850,374.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hasaki-clinic.png,,
browser_data_sent,1723546850,381.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hsk-icon-clinic-deal.png,,
browser_data_sent,1723546850,383.000000,,,,,,GET,,,order_rule_01_01_sku,,,,,https://media.hcdn.vn/hsk/icon/hsk-icon-mua-la-co-qua.png,,
